18;18;{"question":"Who won the world cup in 2014?", "rightAnswer":"Germany", wrongAnswer: ["Argentina","Spain","France"], "answerText":"Germany won the world cup in 2014", "wrongAnswerPatterns":["* (argentin*/spain/spanish/franc*/(no/not/or) * german*) *"], "rightAnswerPatterns":["* german* *"]}
19;19;{"question":"Who won the world cup in 2010?", "rightAnswer":"Spain", wrongAnswer: ["Netherlands","Germany","Brazil"], "answerText":"Spain won the world cup in 2010", "wrongAnswerPatterns":["* (netherland*/dutch/brasil*/franc*/(no/not/or) * (spain/spanish)) *"], "rightAnswerPatterns":["* (spain/spanish) *"]}
20;20;{"question":"Who won the world cup in 2006?", "rightAnswer":"Italy", wrongAnswer: ["France","Germany","Brazil"], "answerText":"Italy won the world cup in 2006", "wrongAnswerPatterns":["* (franc*/german*/brazi*/(no/not/or) * (italy/italian*)) *"], "rightAnswerPatterns":["* (italy/italian*) *"]}
21;21;{"question":"Who won the world cup in 2002?", "rightAnswer":"Brazil", wrongAnswer: ["Italy","Argentina","Germany"], "answerText":"Brazil won the world cup in 2002", "wrongAnswerPatterns":["* (ital*/argentin*/german*/(no/not/or) * brazil* ) *"], "rightAnswerPatterns":["* brazil* *"]}
22;22;{"question":"Who won the world cup in 1998?", "rightAnswer":"France", wrongAnswer: ["Italy","Brazil","Germany"], "answerText":"France won the world cup in 1998", "wrongAnswerPatterns":["* (ital*/brazi*/german*/(no/not/or) * franc* ) *"], "rightAnswerPatterns":["* franc* *"]}
23;23;{"question":"Who won the world cup in 1994?", "rightAnswer":"Brazil", wrongAnswer: ["Italy","Argentina","Germany"], "answerText":"Brazil won the world cup in 1994", "wrongAnswerPatterns":["* (ital*/argentin*/german*/(no/not/or) * brasil* ) *"], "rightAnswerPatterns":["* brasil* *"]}
24;24;{"question":"Who won the world cup in 1990?", "rightAnswer":"Germany", wrongAnswer: ["Brazil","Argentina","Netherlands"], "answerText":"Germany won the world cup in 1990", "wrongAnswerPatterns":["* (brazi*/argentin*/netherland*/dutch/(no/not/or) * german* ) *"], "rightAnswerPatterns":["* german* *"]}
25;25;{"question":"Which country hosted the 1994 world championship?", "rightAnswer":"USA", wrongAnswer: ["Mexico","Netherlands","Argentina"], "answerText":"USA hosted the 1994 world championship.", "wrongAnswerPatterns":["* (mexic*/netherland*/dutch/argentin*/(no/not/or) * (usa/america*/state*) ) *"], "rightAnswerPatterns":["* (usa/america*/state*) *"]}
26;26;{"question":"How many world cups did Brazil win?", "rightAnswer":"5 world cups", wrongAnswer: ["2 world cups","3 world cups","4 world cups"], "answerText":"Brazil have won 5 world cups.", "wrongAnswerPatterns":["* (2/3/4/two/second/three/third/four*/(no/not/or) * (five/5) ) *"], "rightAnswerPatterns":["* (five/5) *"], "answerIsNumber":"5"}
27;27;{"question":"How many world cups did Germany win?", "rightAnswer":"4 world cups", wrongAnswer: ["2 world cups","3 world cups","5 world cups"], "answerText":"", "wrongAnswerPatterns":["* (2/3/5/two/second/three/third/five/(no/not/or) * (4/four)) *"], "rightAnswerPatterns":["* (4/four) *"], "answerIsNumber":"4"}
28;28;{"question":"How many world cups finals did Germany play?", "rightAnswer":"8", wrongAnswer: ["5","7","9"], "answerText":"Germany become the first team to reach 8 World Cup Finals.", "wrongAnswerPatterns":["* (5/7/9/five*/seven*/nine/ninth/(no/not/or) * (eight*/8)) *"], "rightAnswerPatterns":["* (eight*/8) *"], "answerIsNumber":"8"}
29;29;{"question":"Which player scored most goals in a single world cup tournament?", "rightAnswer":"Just Fontaine", wrongAnswer: ["Miraslov Klose","Ronaldo","Pele"], "answerText":"", "wrongAnswerPatterns":["* ({[miraslov] klose}/miraslov/ronaldo/pele/(no/not/or) * (just [justo] fontaine/just*/{[just] fontaine})) *"], "rightAnswerPatterns":["* (just [justo] fontaine/just*/{[just] fontaine}) *"]}
